anio_desde,anio_hasta,seccion,lugar_o_pais,detalle,fuente
1921,1921,1920s,Panamá y Costa Rica,Escuadrones navales estadounidenses se manifestaron en abril a ambos lados del istmo para evitar una guerra entre los dos países por una disputa fronteriza. [ 157 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1922,1922,1920s,Turquía,"En septiembre y octubre, se envió una fuerza de desembarco a tierra con el consentimiento de las autoridades griegas y turcas, para proteger las vidas y propiedades estadounidenses cuando los nacionalistas turcos entraron en Izmir ( Esmirna ). [ 158 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1922,1923,1920s,China,"Desde abril de 1922 hasta noviembre de 1923, los marines desembarcaron cinco veces para proteger a los estadounidenses durante los períodos de disturbios. [ 159 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1924,1924,1920s,Honduras,"Del 28 de febrero al 31 de marzo y del 10 al 15 de septiembre, las fuerzas estadounidenses protegieron vidas e intereses estadounidenses durante las hostilidades electorales. [ 160 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1924,1924,1920s,China,"En septiembre, se desembarcaron marines para proteger a los estadounidenses y otros extranjeros en Shanghái durante las hostilidades entre facciones chinas. [ 161 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1925,1925,1920s,China,"Del 15 de enero al 29 de agosto, los combates de facciones chinas acompañados de disturbios y manifestaciones en Shanghái provocaron el desembarco de fuerzas estadounidenses para proteger vidas y propiedades en la Concesión Internacional . [ 162 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1925,1925,1920s,Honduras,"Del 19 al 21 de abril, las fuerzas estadounidenses protegieron a los extranjeros en La Ceiba durante un levantamiento político. [ 163 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1925,1925,1920s,Panamá,"Del 12 al 23 de octubre, huelgas y disturbios por alquileres provocaron el desembarco de unos 600 soldados estadounidenses para mantener el orden y proteger los intereses estadounidenses. [ 164 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1926,1933,1920s,Nicaragua,"Del 7 de mayo al 5 de junio de 1926 y del 27 de agosto de 1926 al 3 de enero de 1933, el golpe de Estado del general Emiliano Chamorro Vargas desencadenó actividades revolucionarias que condujeron al desembarco de marines estadounidenses para proteger la intereses de los Estados Unidos. Las fuerzas estadounidenses iban y venían de forma intermitente hasta el 3 de enero de 1933. [ 165 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1926,1926,1920s,China,"En agosto y septiembre, el ataque nacionalista a Hankou provocó el desembarco de fuerzas navales estadounidenses para proteger a los ciudadanos estadounidenses. Se mantuvo una pequeña guardia en el consulado general incluso después del 16 de septiembre, cuando se retiró el resto de las fuerzas. Del mismo modo, cuando las fuerzas del Kuomintang capturaron Jiujiang , del 4 al 6 de noviembre se desembarcaron fuerzas navales para proteger a los extranjeros. [ 166 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1927,1927,1920s,China,"En febrero, los combates en Shanghái provocaron que se incrementara la presencia de fuerzas navales y marines estadounidenses. En marzo, una guardia naval fue estacionada en el consulado estadounidense en Nankín después de que las fuerzas nacionalistas capturaran la ciudad . Posteriormente, los destructores estadounidenses y británicos utilizaron fuego de artillería para proteger a los estadounidenses y otros extranjeros. Posteriormente, se estacionaron fuerzas adicionales de marines y fuerzas navales en las cercanías de Shanghái y Tianjin. [ 167 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1932,1932,1930s,Estados Unidos,""" Ejército de bonificación "" de 17.000 veteranos de la Primera Guerra Mundial más 20.000 familiares retirados de Washington y luego de los apartamentos "" Hooverville "" de Anacostia por el 3.º Regimiento de Caballería y el 12.º Regimiento de Infantería al mando del general Douglas MacArthur y el mayor Dwight D. Eisenhower , 28 de julio.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1933,1933,1930s,Cuba,"Durante una revolución contra el presidente Gerardo Machado , las fuerzas navales se manifestaron pero no se realizó ningún desembarco. [ 168 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1934,1934,1930s,China,Los marines desembarcan en Fuzhou para proteger el consulado estadounidense. [ 169 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1937,1937,1930s,China,Desembarcan fuerzas estadounidenses para proteger los intereses estadounidenses durante la ocupación japonesa de Shanghái. [ 170 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1940,1940,1940–1944,"Terranova , Bermudas , Santa Lucía , – Bahamas , Jamaica , Antigua , Trinidad y Guayana Británica","Se enviaron tropas para proteger bases aéreas y navales obtenidas en régimen de arrendamiento mediante negociación con el Reino Unido. A veces se las llamaba bases de préstamo y arrendamiento, pero estaban incluidas en el acuerdo de destructores por bases . [ 171 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1941,1941,1940–1944,Groenlandia,Groenlandia quedó bajo protección de Estados Unidos en abril. [ 172 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1941,1941,1940–1944,Países Bajos ( Guayana Neerlandesa ),"En noviembre, el presidente ordenó a las tropas estadounidenses ocupar la Guayana Holandesa, pero mediante un acuerdo con el gobierno neerlandés en el exilio , Brasil cooperó para proteger el suministro de mineral de aluminio de las minas de bauxita en Surinam. [ 173 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1941,1941,1940–1944,Islandia,"Islandia fue tomada bajo la protección de Estados Unidos , sin consentimiento de su gobierno en sustitución de las tropas británicas, por motivos estratégicos. [ 174 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1941,1941,1940–1944,Alemania,"En algún momento de la primavera, el presidente ordenó a la Armada que patrullara las rutas de los barcos hacia Europa. En julio, los buques de guerra estadounidenses estaban haciendo convoyes y en septiembre atacaban submarinos alemanes. En noviembre, en respuesta al hundimiento del USS Reuben James el 31 de octubre de 1941, la Ley de Neutralidad fue parcialmente derogada para proteger la ayuda militar estadounidense a Gran Bretaña. [ 175 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1941,1945,1940–1944,Segunda Guerra Mundial,"El 8 de diciembre de 1941, Estados Unidos declaró la guerra a Japón en respuesta al ataque a Pearl Harbor . El 11 de diciembre, la Alemania nazi y la Italia fascista declararon la guerra a Estados Unidos. [ 176 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1944,1946,1945–1949,,Reocupación temporal de Filipinas durante la Segunda Guerra Mundial y en preparación para la independencia previamente programada. [ 178 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1945,1945,1945–1949,China,"En octubre, 50.000 marines estadounidenses fueron enviados al norte de China para ayudar a las autoridades nacionalistas chinas a desarmar y repatriar a los japoneses en China y a controlar puertos, ferrocarriles y aeródromos. Esto se suma a las aproximadamente 60.000 fuerzas estadounidenses que permanecían en China al final de la Segunda Guerra Mundial. [ 177 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1945,1949,1945–1949,,Ocupación de parte de Alemania .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1945,1955,1945–1949,,Ocupación de parte de Austria .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1945,1952,1945–1949,,Ocupación de Japón .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1945,1947,1945–1949,,Marines estadounidenses estacionados en China continental para supervisar la retirada de las fuerzas japonesas después de la Segunda Guerra Mundial. [ 179 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1945,1949,1945–1949,,Ocupación de Corea del Sur después de la Segunda Guerra Mundial; Insurgencia norcoreana en la República de Corea. [ 180 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1946,1946,1945–1949,Trieste ( Italia ),"El presidente Truman ordenó el aumento de tropas estadounidenses a lo largo de la línea de ocupación zonal y el refuerzo de las fuerzas aéreas en el norte de Italia después de que el Ejército Popular Yugoslavo derribara un avión de transporte desarmado del ejército estadounidense que sobrevolaba Venezia Giulia .  Anteriormente se habían enviado unidades navales estadounidenses al lugar. [ 181 ] ​ Posteriormente el Territorio Libre de Trieste , Zona A.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1948,1948,1945–1949,Jerusalén ( Mandato británico de Palestina ),Se envió una guardia consular de la Marina a Jerusalén para proteger al cónsul general de los Estados Unidos. [ 182 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1948,1948,1945–1949,Berlín,"Puente Aéreo de Berlín . Después de que la Unión Soviética estableció un bloqueo terrestre de los sectores estadounidense, británico y francés de Berlín el 24 de junio de 1948, Estados Unidos y sus aliados transportaron suministros por vía aérea a Berlín hasta que se levantó el bloqueo en mayo de 1949. [ 183 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1948,1949,1945–1949,China,"se enviaron marines a Nankín para proteger la embajada estadounidense cuando la ciudad cayó en manos de las tropas comunistas , y a Shanghái para ayudar en la protección y evacuación de los estadounidenses. [ 184 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1950,1953,1950s,Guerra de Corea,"Estados Unidos respondió a la invasión norcoreana de Corea del Sur acudiendo en su ayuda, de conformidad con las resoluciones del Consejo de Seguridad de las Naciones Unidas . Las fuerzas estadounidenses desplegadas en Corea superaron los 300.000 durante el último año del conflicto activo (1953). Más de 36.600 militares estadounidenses murieron en acción. [ 185 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1950,1955,1950s,Formosa ( Taiwán ),"En junio de 1950, al comienzo de la guerra de Corea, el presidente Truman ordenó a la Séptima Flota de Estados Unidos que impidiera los ataques del Ejército Popular de Liberación contra Formosa y las operaciones de las Fuerzas Armadas de la República de China contra China continental. [ 186 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1950,1950,1950s,Puerto Rico (territorio colonial de Estados Unidos),"La Guardia Nacional de Estados Unidos utilizó aviones de ataque P-47 Thunderbolt , artillería terrestre, fuego de mortero y granadas para contraatacar a los luchadores por la libertad puertorriqueños, nacionalistas y rebeldes independentistas que buscan poner fin al dominio colonial estadounidense durante el levantamiento de Jayuya .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1950,1950,1950s,"Después de su derrota en la guerra civil china , partes del ejército nacionalista se retiraron al sur y cruzaron la frontera hacia Birmania . [ 187 ] ​","65 Estados Unidos apoyó a estas fuerzas nacionalistas porque esperaba que acosaran a la República Popular China desde el suroeste, desviando así recursos chinos de la guerra de Corea . [ 187 ] ​ : 65 El gobierno birmano protestó y aumentó la presión internacional [ 187 ] ​ : 65 A partir de 1953 se llevaron a cabo varias rondas de retiradas de las fuerzas nacionalistas y sus familias. [ 187 ] ​ : 65 En 1960, una acción militar conjunta de China y Birmania expulsó a las fuerzas nacionalistas restantes de Birmania, aunque algunas se establecieron en las zonas fronterizas entre Birmania y Tailandia . [ 187 ] ​ : 65–66",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1954,1955,1950s,China,"Primera crisis del Estrecho de Taiwán , unidades navales evacuaron a civiles y militares estadounidenses de las islas Tachen . [ 188 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1955,1964,1950s,Vietnam,"Los primeros asesores militares fueron enviados a Vietnam el 12 de febrero de 1955. En 1964, el nivel de tropas estadounidenses había aumentado a 21.000. El 7 de agosto de 1964, el Congreso de los Estados Unidos aprobó la resolución del Golfo de Tonkín afirmando ""Todas las medidas necesarias para repeler cualquier ataque armado contra las fuerzas de los Estados Unidos... para prevenir futuras agresiones... (y) ayudar a cualquier miembro o estado del protocolo de el Tratado de Defensa Colectiva del Sudeste Asiático (SEATO) solicitando asistencia. . ."" [ 189 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1955,1975,1950s,Guerra de Vietnam,"Los asesores militares estadounidenses habían estado en Vietnam del Sur durante una década y su número había aumentado a medida que la posición militar del gobierno de Saigón se debilitaba. Después de citar lo que falsamente denominó ataques de la Armada Popular de Vietnam contra destructores estadounidenses, en lo que llegó a conocerse como el incidente del Golfo de Tonkin , el presidente Lyndon B. Johnson pidió en agosto de 1964 una resolución que expresara la determinación de Estados Unidos de apoyar ""la libertad y proteger la paz en el Sudeste Asiático ."" El Congreso respondió con la Resolución del Golfo de Tonkín , que autorizaba al presidente Johnson, sin una declaración formal de guerra por parte del Congreso, el uso de fuerza militar convencional en el Sudeste Asiático. Tras esta resolución, y tras un ataque comunista a una instalación estadounidense en el centro de Vietnam, Estados Unidos incrementó su participación en la guerra a un máximo de 543.000 militares en abril de 1969. [ 193 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1956,1956,1950s,Egipto,Un batallón de marines evacuó a ciudadanos estadounidenses y otras personas de Alejandría durante la crisis de Suez . [ 190 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1958,1958,1950s,Líbano,"Crisis del Líbano de 1958 , los marines fueron desembarcados en el Líbano por invitación del presidente Camille Chamoun para ayudar a proteger contra la amenaza de insurrección apoyada desde el exterior. La acción del Presidente fue respaldada por una resolución del Congreso aprobada en 1957 que autorizó tales acciones en esa zona del mundo. [ 191 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1959,1960,1950s,El Caribe,Se desplegó la Segunda Fuerza de Tarea Marina Terrestre para proteger a los ciudadanos estadounidenses después de la Revolución Cubana . [ 192 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1962,1962,1960s,Tailandia,"La III Fuerza Expedicionaria de Marines desembarcó el 17 de mayo de 1962 para apoyar a ese país durante la amenaza de presión comunista desde el exterior; el 30 de julio, los 5.000 marines habían sido retirados. [ 194 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1962,1962,1960s,Cuba,"Crisis de los misiles cubanos . El 22 de octubre, el presidente Kennedy instituyó una ""cuarentena"" sobre el envío de misiles ofensivos a Cuba desde la Unión Soviética. También advirtió a la Unión Soviética que el lanzamiento de cualquier misil desde Cuba contra naciones del hemisferio occidental provocaría represalias nucleares de Estados Unidos contra la Unión Soviética. En pocos días se logró un acuerdo negociado. [ 195 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1962,1975,1960s,Laos,"Desde octubre de 1962 hasta 1975, Estados Unidos jugó un papel importante en el apoyo militar a las fuerzas anticomunistas en Laos. [ 196 ] ​ Mientras tanto, Estados Unidos libraba una operación militar encubierta utilizando fuerzas paramilitares de la CIA , conocida como La Guerra Secreta .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1964,1964,1960s,Congo ( Zaire ),Estados Unidos envió cuatro aviones de transporte para proporcionar transporte aéreo a las tropas congoleñas durante una rebelión y para transportar paracaidistas belgas para rescatar a extranjeros. [ 197 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1964,1965,1960s,Indonesia,"Intervención y apoyo previo al golpe de Estado que derrocó al líder democráticamente electo y popular Sukarno el 30 de septiembre de 1965; subsecuente purga "" anticomunista "" que causó la ejecución arbitraria de alrededor de medio millón de indonesios. [ 198 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1965,1965,1960s,Invasión de República Dominicana,"Operación Power Pack , Estados Unidos intervino para proteger vidas y propiedades durante una revuelta dominicana y envió 20.000 tropas estadounidenses a medida que crecían los temores de que las fuerzas revolucionarias estuvieran cada vez más bajo el control comunista. [ 199 ] ​ Estalló una rebelión popular que prometía reinstalar a Juan Bosch como líder electo del país. La revolución fue aplastada cuando los marines estadounidenses desembarcaron para defender el régimen militar por la fuerza.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1967,1967,1960s,Israel,"El incidente del USS Liberty , tras el cual un barco de investigación técnica de la Armada de los Estados Unidos fue atacado el 8 de junio de 1967 por las Fuerzas de Defensa de Israel , matando a 34 e hiriendo a más de 170 miembros de la tripulación estadounidense.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1967,1967,1960s,Congo (Zaire),Estados Unidos envió tres aviones de transporte militar con tripulaciones para proporcionar apoyo logístico al gobierno central del Congo durante una revuelta. [ 200 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1968,1968,1960s,Laos y Camboya,Estados Unidos inicia una campaña secreta de bombardeos contra objetivos a lo largo de la ruta Ho Chi Minh en las naciones soberanas de Camboya y Laos . Los bombardeos duran al menos dos años. (Véase Operación Command Hunt ),https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1970,1970,1970s,Campaña camboyana,"Se ordenó la entrada de tropas estadounidenses en Camboya para limpiar los santuarios comunistas desde donde el Viet Cong y Vietnam del Norte atacaron a las fuerzas estadounidenses y vietnamitas del sur en Vietnam. El objetivo de este ataque, que duró del 30 de abril al 30 de junio, era garantizar la retirada segura de las fuerzas estadounidenses de Vietnam del Sur y ayudar al programa de vietnamización . [ 201 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1972,1972,1970s,Vietnam del Norte,"Bombardeo navideño Operación Linebacker II (no mencionada en RL30172, pero una operación que conduce a negociaciones de paz). La operación se llevó a cabo del 18 al 29 de diciembre de 1972. Fue un bombardeo de las ciudades de Hanói y Haiphong por parte de bombarderos B-52 .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1973,1973,1970s,,"Operación Nickel Grass , una operación de transporte aéreo estratégico realizada por Estados Unidos para entregar armas y suministros a Israel durante la guerra de Yom Kipur .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1974,1974,1970s,Evacuación de Chipre,Las fuerzas navales de Estados Unidos evacuaron a civiles estadounidenses durante la invasión turca de Chipre . [ 202 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1975,1975,1970s,Evacuación de Vietnam,"Operación Frequent Wind . El 3 de abril de 1975, el presidente Gerald Ford informó que se habían enviado buques de guerra, helicópteros y marines estadounidenses para ayudar en la evacuación de refugiados y ciudadanos estadounidenses de Vietnam. [ 203 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1975,1975,1970s,Evacuación de Camboya,"Operación Eagle Pull . El 12 de abril de 1975, el presidente Ford informó que había ordenado a las fuerzas militares estadounidenses que procedieran con la evacuación planificada de los ciudadanos estadounidenses de Camboya. [ 204 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1975,1975,1970s,Vietnam del Sur,"El 30 de abril de 1975, el presidente Ford informó que una fuerza de 70 helicópteros de evacuación y 865 marines habían evacuado a unos 1.400 ciudadanos estadounidenses y 5.500 nacionales de terceros países y vietnamitas del sur de las zonas de aterrizaje dentro y alrededor de la Embajada de los Estados Unidos en Saigón y el Aeropuerto Tan Son Nhut . [ 205 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1975,1975,1970s,Camboya,"incidente del Mayagüez . El 15 de mayo de 1975, el presidente Ford informó que había ordenado a las fuerzas militares retomar el SS Mayaguez , un buque mercante que fue confiscado a las lanchas patrulleras navales del Ejército Revolucionario de Kampuchea en aguas internacionales y obligado a dirigirse a una isla cercana. [ 206 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1976,1976,1970s,Líbano,"El 22 y 23 de julio de 1976, helicópteros de cinco buques de guerra estadounidenses evacuaron a aproximadamente 250 estadounidenses y europeos del Líbano durante los combates entre facciones libanesas después de que las hostilidades bloquearan la evacuación de un convoy por tierra. [ 207 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1976,1976,1970s,Corea,Se enviaron fuerzas adicionales a Corea después de que dos soldados estadounidenses fueran asesinados por soldados norcoreanos en la Zona Desmilitarizada de Corea mientras talaban un árbol. [ 208 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1978,1978,1970s,Zaire (Congo),"Del 19 de mayo a junio, Estados Unidos utilizó aviones de transporte militar para brindar apoyo logístico a las operaciones de rescate belgas y francesas en Zaire. [ 209 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1980,1980,1980s,Irán,"Operación Eagle Claw , el 26 de abril de 1980, el presidente Carter informó del uso de seis aviones de transporte y ocho helicópteros estadounidenses en un intento fallido de rescatar a los rehenes estadounidenses en Irán.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1980,1980,1980s,,"Las unidades del Ejército y la Fuerza Aérea de los EE. UU. llegan al Sinaí en septiembre como parte de la "" Operación Bright Star "". Están allí para entrenar con las Fuerzas Armadas egipcias como parte de los acuerdos de paz de Camp David firmados en 1979. Elementos de la 101.ª División Aerotransportada ( 1.º Batallón, 502.º de Infantería ) y unidades MAC (Comando de Transporte Aéreo Militar) de la Fuerza Aérea están en el teatro de operaciones para cuatro meses y son las primeras fuerzas militares estadounidenses en la región desde la Segunda Guerra Mundial.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1981,1981,1980s,El Salvador,"Después de una ofensiva guerrillera contra el gobierno de El Salvador, se enviaron asesores militares estadounidenses adicionales a El Salvador, elevando el total a aproximadamente 55, para ayudar a entrenar a las fuerzas gubernamentales en contrainsurgencia. [ 210 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1982,1982,1980s,Sinaí,"El 19 de marzo de 1982, el presidente Reagan informó el despliegue de personal y equipo militar para participar en la Fuerza Multinacional y Observadores en la Península del Sinaí . La participación había sido autorizada por Resolución de Fuerza Multinacional y Observadores, Ley Pública 97-132. [ 211 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1982,1982,1980s,Líbano,"Fuerza Multinacional en Líbano , el 21 de agosto de 1982, el presidente Reagan informó el envío de 800 marines para servir en la fuerza multinacional para ayudar en la retirada de los miembros de la Fuerza de Liberación de Palestina de Beirut . Los marines partieron el 20 de septiembre de 1982. [ 212 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1982,1983,1980s,Líbano,"El 29 de septiembre de 1982, el presidente Reagan informó sobre el despliegue de 1200 infantes de marina para servir en una fuerza multinacional temporal para facilitar la restauración de la soberanía del gobierno libanés. El 29 de septiembre de 1983, el Congreso aprobó la Resolución de la Fuerza Multinacional en el Líbano (P.L. 98-119) que autorizaba la participación continua durante dieciocho meses. [ 213 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1983,1983,1980s,Egipto,"Después de que un avión libio bombardeara una ciudad en Sudán el 18 de marzo de 1983, y Sudán y Egipto pidieran ayuda, Estados Unidos envió un avión de vigilancia electrónica AWACS a Egipto. [ 214 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1983,1983,1980s,Granada,"Operación Urgent Fury , citando la creciente amenaza de la influencia soviética y cubana y señalando el desarrollo de un aeropuerto internacional luego de un golpe de Estado y el alineamiento con la Unión Soviética y Cuba, Estados Unidos invade la nación insular de Granada. [ 215 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1983,1989,1980s,Honduras,"En julio de 1983, Estados Unidos llevó a cabo una serie de ejercicios en Honduras que algunos creían que podrían conducir a un conflicto con Nicaragua. El 25 de marzo de 1986, helicópteros y tripulantes militares estadounidenses desarmados transportaron tropas hondureñas a la frontera con Nicaragua para repeler a las tropas nicaragüenses. [ 216 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1983,1983,1980s,Chad,"El 8 de agosto de 1983, el presidente Reagan informó del despliegue de dos aviones de vigilancia electrónica AWACS y ocho aviones de combate F-15 y fuerzas de apoyo logístico terrestre para ayudar a Chad contra las fuerzas libias y rebeldes. [ 217 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1984,1984,1980s,Golfo Pérsico,"El 5 de junio de 1984, aviones de combate de Arabia Saudita , ayudados por la inteligencia de un avión de vigilancia electrónica AWACS de EE. UU. y propulsados ​​por un avión cisterna KC-10 de EE. UU., derribaron dos aviones de combate iraníes sobre una zona del Golfo Pérsico. Proclamada como zona protegida para la navegación. [ 218 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1985,1985,1980s,Italia,"El 10 de octubre de 1985, los pilotos de la Marina estadounidense interceptaron un avión egipcio y lo obligaron a aterrizar en Sicilia . En el avión viajaban los secuestradores del crucero italiano Achille Lauro , que durante el secuestro mataron a un ciudadano estadounidense. [ 219 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1986,1986,1980s,Libia,"Acción en el Golfo de Sidra (1986) , el 26 de marzo de 1986, el presidente Reagan informó los días 24 y 25 de marzo que las fuerzas estadounidenses, mientras realizaban ejercicios de libertad de navegación alrededor del Golfo de Sidra , habían sido atacadas por misiles libios y Estados Unidos había respondido con misiles. [ 220 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1986,1986,1980s,Libia,"Operación Cañón El Dorado , el 16 de abril de 1986, el presidente Reagan informó que las fuerzas aéreas y navales estadounidenses habían llevado a cabo ataques con bombas contra instalaciones terroristas e instalaciones militares en la capital libia de Trípoli , afirmando que el líder libio, coronel Muammar Gaddafi , fue responsable de un ataque con bomba en una discoteca alemana que mató a dos soldados estadounidenses. [ 221 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1987,1987,1980s,Golfo Pérsico,"El USS Stark fue alcanzado el 17 de mayo por dos misiles antibuque Exocet disparados desde un Dassault Mirage F1 de la Fuerza Aérea Iraquí durante la guerra entre Irán e Irak , matando a 37 marineros de la Armada estadounidense.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
