anio_desde,anio_hasta,seccion,place_or_country,details,source
1975,1975,1970s,Evacuation from Cambodia,"Operation Eagle Pull , On April 12, 1975, President Ford reported that he had ordered U.S. military forces to proceed with the planned evacuation of the U.S. citizens from Cambodia. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1975,1975,1970s,South Vietnam,"On April 30, 1975, President Ford reported that a force of 70 evacuation helicopters and 865 Marines had evacuated about 1,400 U.S. citizens and 5,500 third country nationals and South Vietnamese from landing zones in and around the U.S. Embassy, Saigon and Tan Son Nhut Airport . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1975,1975,1970s,Cambodia,"Mayaguez incident , On May 15, 1975, President Ford reported he had ordered military forces to retake SS Mayaguez , a merchant vessel which was seized from Kampuchean Revolutionary Army naval patrol boats in international waters and forced to proceed to a nearby island. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1976,1976,1970s,Lebanon,"On July 22 and 23, 1976, helicopters from five U.S. naval vessels evacuated approximately 250 Americans and Europeans from Lebanon during fighting between Lebanese factions after an overland convoy evacuation had been blocked by hostilities. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1976,1976,1970s,Korea,Additional forces were sent to Korea after two American soldiers were killed by North Korean soldiers in the Korean Demilitarized Zone while cutting down a tree. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1978,1978,1970s,Zaire (Congo),"From May 19 through June, the United States used military transport aircraft to provide logistical support to Belgian and French rescue operations in Zaïre. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1980,1980,1980s,Iran,"Operation Eagle Claw , on April 26, 1980, President Carter reported the use of six U.S. transport planes and eight helicopters in an unsuccessful attempt to rescue the American hostages in Iran.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1980,1980,1980s,,"U.S. Army and Air Force units arrive in the Sinai in September as part of "" Operation Bright Star "". They are there to train with the Egyptian Armed Forces as part of the Camp David peace accords signed in 1979. Elements of the 101st Airborne Division , ( 1st Battalion, 502nd Infantry ) and Air Force MAC (Military Airlift Command) units are in theater for four months & are the first U.S. military forces in the region since World War II.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1981,1981,1980s,El Salvador,"After a guerrilla offensive against the government of El Salvador, additional U.S. military advisers were sent to El Salvador, bringing the total to approximately 55, to assist in training government forces in counterinsurgency. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1982,1982,1980s,Libya,"First Gulf of Sidra incident , on August 19, 1981, U.S. planes based on the carrier USS Nimitz shot down two Libyan jets over the Gulf of Sidra after one of the Libyan jets had fired a heat-seeking missile. The United States periodically held freedom of navigation exercises in the Gulf of Sidra, claimed by Libya as territorial waters but considered international waters by the United States. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1982,1982,1980s,Sinai,"On March 19, 1982, President Reagan reported the deployment of military personnel and equipment to participate in the Multinational Force and Observers in the Sinai Peninsula . Participation had been authorized by the Multinational Force and Observers Resolution, Public Law 97-132. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1982,1983,1980s,Lebanon,"Multinational Force in Lebanon , on August 21, 1982, President Reagan reported the dispatch of 800 Marines to serve in the multinational force to assist in the withdrawal of members of the Palestine Liberation force from Beirut. The Marines left September 20, 1982. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1983,1983,1980s,Lebanon,"On September 29, 1982, President Reagan reported the deployment of 1200 marines to serve in a temporary multinational force to facilitate the restoration of Lebanese government sovereignty. On September 29, 1983, Congress passed the Multinational Force in Lebanon Resolution (P.L. 98-119) authorizing the continued participation for eighteen months. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1983,1983,1980s,Egypt,"After a Libyan plane bombed a city in Sudan on March 18, 1983, and Sudan and Egypt appealed for assistance, the United States dispatched an AWACS electronic surveillance plane to Egypt. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1983,1989,1980s,Grenada,"Operation Urgent Fury , citing the increased threat of Soviet and Cuban influence and noting the development of an international airport following a coup d'état and alignment with the Soviet Union and Cuba, the U.S. invades the island nation of Grenada. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1983,1983,1980s,Honduras,"In July 1983, the United States undertook a series of exercises in Honduras that some believed might lead to conflict with Nicaragua. On March 25, 1986, unarmed U.S. military helicopters and crewmen ferried Honduran troops to the Nicaraguan border to repel Nicaraguan troops. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1984,1984,1980s,Chad,"On August 8, 1983, President Reagan reported the deployment of two AWACS electronic surveillance planes and eight F-15 fighter planes and ground logistical support forces to assist Chad against Libyan and rebel forces. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1985,1985,1980s,Persian Gulf,"On June 5, 1984, Saudi Arabian jet fighter planes, aided by intelligence from a U.S. AWACS electronic surveillance aircraft and fueled by a U.S. KC-10 tanker, shot down two Iranian fighter planes over an area of the Persian Gulf proclaimed as a protected zone for shipping. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1986,1986,1980s,Italy,"On October 10, 1985, U.S. Navy pilots intercepted an Egyptian airliner and forced it to land in Sicily. The airliner was carrying the hijackers of the Italian cruise ship Achille Lauro who had killed an American citizen during the hijacking. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1986,1986,1980s,Libya,"Action in the Gulf of Sidra (1986) , on March 26, 1986, President Reagan reported on March 24 and 25, U.S. forces, while engaged in freedom of navigation exercises around the Gulf of Sidra , had been attacked by Libyan missiles and the United States had responded with missiles. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1987,1987,1980s,Libya,"Operation El Dorado Canyon , on April 16, 1986, President Reagan reported that U.S. air and naval forces had conducted bombing strikes on terrorist facilities and military installations in the Libyan capitol of Tripoli, claiming that Libyan leader Col. Muammar Gaddafi was responsible for a bomb attack at a German disco that killed two U.S. soldiers. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1987,1987,1980s,Persian Gulf,"USS Stark was struck on May 17 by two Exocet antiship missiles fired from a Dassault Mirage F1 of the Iraqi Air Force during the Iran–Iraq War, killing 37 U.S. Navy sailors.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1987,1988,1980s,Persian Gulf,"Operation Nimble Archer . Attacks on two Iranian oil platforms in the Persian Gulf by United States Navy forces on October 19.  The attack was a response to Iran's October 16, 1987, attack on the MV Sea Isle City , a reflagged Kuwaiti oil tanker at anchor off Kuwait , with a Silkworm missile.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1987,1988,1980s,Persian Gulf,"Operation Earnest Will . After the Iran–Iraq War (the Tanker War phase) resulted in several military incidents in the Persian Gulf, the United States increased U.S. joint military forces operations in the Persian Gulf and adopted a policy of reflagging and escorting Kuwaiti oil tankers through the Persian Gulf to protect them from Iraqi and Iranian attacks. President Reagan reported that U.S. ships had been fired upon or struck mines or taken other military action on September 21 ( Iran Ajr ), October 8, and October 19, 1987, and April 18 ( Operation Praying Mantis ), July 3, and July 14, 1988. The United States gradually reduced its forces after a cease-fire between Iran and Iraq on August 20, 1988. [RL30172] It was the largest naval convoy operation since World War II. [ 11 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1988,1988,1980s,Persian Gulf,Operation Prime Chance was a United States Special Operations Command operation intended to protect U.S.-flagged oil tankers from Iranian attack during the Iran–Iraq War. The operation took place roughly at the same time as Operation Earnest Will.,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1988,1988,1980s,Persian Gulf,"Operation Praying Mantis was the April 18, 1988, action waged by U.S. naval forces in retaliation for the Iranian mining of the Persian Gulf and the subsequent damage to an American warship.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1988,1988,1980s,Honduras,"Operation Golden Pheasant was an emergency deployment of U.S. troops to Honduras in 1988, as a result of threatening actions by the forces of the (then socialist) Nicaraguans.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1988,1988,1980s,,USS Vincennes shoot-down of Iran Air Flight 655 .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1989,1989,1980s,Panama,"In mid-March and April 1988, during a period of instability in Panama and as the United States increased pressure on Panamanian head of state General Manuel Noriega to resign, the United States sent 1,000 troops to Panama, to ""further safeguard the canal, U.S. lives, property and interests in the area."" The forces supplemented 10,000 U.S. military personnel already in the Panama Canal Zone. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1989,1989,1980s,Libya,"Second Gulf of Sidra incident . On January 4, 1989, two U.S. Navy F-14 aircraft based on USS John F. Kennedy shot down two Libyan jet fighters over the Mediterranean Sea about 70 miles north of Libya. The U.S. pilots said the Libyan planes had demonstrated hostile intentions. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1989,1989,1980s,Panama,"On May 11, 1989, in response to General Noriega's disregard of the results of the Panamanian election, President Bush ordered a brigade-sized force of approximately 1,900 troops to augment the estimated 1,000 U.S. forces already in the area. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1989,1989,1980s,"Colombia, Bolivia, and Peru","Andean Initiative in war on drugs, On September 15, 1989, President Bush announced that military and law enforcement assistance would be sent to help the Andean nations of Colombia, Bolivia, and Peru combat illicit drug producers and traffickers. By mid-September there were 50–100 U.S. military advisers in Colombia in connection with transport and training in the use of military equipment, plus seven Special Forces teams of 2–12 persons to train troops in the three countries. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1989,1990,1980s,Philippines,"Operation Classic Resolve , On December 2, 1989, President Bush reported that on December 1, Air Force fighters from Clark Air Base in Luzon had assisted the Aquino government to repel a coup attempt . In addition, 100 marines were sent from U.S. Naval Base Subic Bay to protect the United States Embassy in Manila . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1989,1990,1980s,Panama,"United States invasion of Panama and Operation Just Cause , On December 21, 1989, President Bush reported that he had ordered U.S. military forces to Panama to protect the lives of American citizens and bring General Noriega to justice. By February 13, 1990, all the invasion forces had been withdrawn. [RL30172] Around 200 Panamanian civilians were reported killed. The Panamanian head of state, General Manuel Noriega, was captured and brought to the U.S.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1990,1990,1990s,Liberia,"On August 6, 1990, President Bush reported that a reinforced rifle company had been sent to provide additional security to the U.S. Embassy in Monrovia, and that helicopter teams had evacuated U.S. citizens from Liberia. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1990,1990,1990s,Saudi Arabia,"On August 9, 1990, President Bush reported that he launched Operation Desert Shield by ordering the forward deployment of substantial elements of the U.S. armed forces into the Persian Gulf region to help defend Saudi Arabia after the August 2 invasion of Kuwait by Iraq. On November 16, 1990, he reported the continued buildup of the forces to ensure an adequate offensive military option. [RL30172] American hostages being held in Iran. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1991,1991,1990s,Iraq,"Operation Desert Storm , The Allied air to land offensive from January 17, 1991, to April 11, 1991 [ 12 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1991,1991,1990s,Iraq,"Operation Desert Sabre , The Allied ground offensive from Feb 24 to 27, 1991 [ 12 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1991,1996,1990s,Iraq,"Operation Provide Comfort , Delivery of humanitarian relief and military protection for Kurds fleeing their homes in northern Iraq during the 1991 uprising , by a small Allied ground force based in Turkey which began in April 1991.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1991,1991,1990s,Iraq,"On May 17, 1991, President Bush stated that the Iraqi repression of the Kurdish people had necessitated a limited introduction of U.S. forces into northern Iraq for emergency relief purposes. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1991,1991,1990s,Zaire,"On September 25–27, 1991, after widespread looting and rioting broke out in Kinshasa , Air Force C-141s transported 100 Belgian troops and equipment into Kinshasa. American planes also carried 300 French troops into the Central African Republic and hauled evacuated American citizens. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1992,1992,1990s,Sierra Leone,"Operation Silver Anvil , Following the April 29 coup that overthrew President Joseph Saidu Momoh , a United States European Command (USEUCOM) Joint Special Operations Task Force evacuated 438 people (including 42 Third Country nationals) on May 3. Two Air Mobility Command (AMC) C-141s flew 136 people from Freetown , Sierra Leone, to the Rhein-Main Air Base in Germany and nine C-130 sorties carried another 302 people to Dakar , Senegal. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1992,1996,1990s,Bosnia and Herzegovina,"Operation Provide Promise was a humanitarian relief operation in Bosnia and Herzegovina during the Yugoslav Wars , from July 2, 1992, to January 9, 1996, which made it the longest running humanitarian airlift in history. [ 13 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1992,1992,1990s,Kuwait,"On August 3, 1992, the United States began a series of military exercises in Kuwait, following Iraqi refusal to recognize a new border drawn up by the United Nations and refusal to cooperate with UN inspection teams. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1992,2003,1990s,Iraq,"Iraqi no-fly zones conflict , The U.S., United Kingdom, and its Gulf War allies declared and enforced ""no-fly zones"" over the majority of sovereign Iraqi airspace, prohibiting Iraqi flights in zones in southern Iraq and northern Iraq, conducting aerial reconnaissance, and several specific attacks on Iraqi air-defense systems as part of the UN mandate. Often, Iraqi forces continued throughout a decade by firing on U.S. and British aircraft patrolling no-fly zones. (See also Operation Northern Watch , Operation Southern Watch ) [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1993,1995,1990s,Bosnia,"Operation Deny Flight , On April 12, 1993, in response to a United Nations Security Council passage of Resolution 816 , U.S. and NATO enforced the no-fly zone over the Bosnian airspace, prohibited all unauthorized flights and allowed to ""take all necessary measures to ensure compliance with [the no-fly zone restrictions].""",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1993,1993,1990s,Somalia,"Battle of Mogadishu , or the First Battle of Mogadishu, the outcome of Operation Gothic Serpent . October 3–4, 1993, Task Force Ranger, made up largely of the 75th Ranger Regiment and Delta Force entered hostile urban area Mogadishu to seize two high ranking Somali National Army leaders. Two American UH-60 Black Hawks are shot down, 18 Americans are killed in action, with another 73 wounded, and 1 captured. The events of the battle were gathered in the book Black Hawk Down , which was later adapted to a movie of the same name .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1993,1993,1990s,Macedonia,"On July 9, 1993, President Clinton reported the deployment of 350 U.S. soldiers to the Republic of Macedonia to participate in the UN Protection Force to help maintain stability in the area of former Yugoslavia. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1994,1994,1990s,Bosnia,"Banja Luka incident , NATO become involved in the first combat situation when NATO U.S. Air Force F-16 jets shot down four of the six Bosnian Serb J-21 Jastreb single-seat light attack jets for violating UN-mandated no-fly zone .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1994,1995,1990s,Haiti,"Operation Uphold Democracy , U.S. ships had begun embargo against Haiti. Up to 20,000 U.S. military troops were later deployed to Haiti to restore democratically elected Haiti President Jean-Bertrand Aristide from a military regime which came into power in 1991 after a major coup. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1994,1994,1990s,Macedonia,"On April 19, 1994, President Clinton reported that the U.S. contingent in Macedonia had been increased by a reinforced company of 200 personnel. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1994,1994,1990s,Kuwait,"Operation Vigilant Warrior began in October 1994 when Iraqi Republican Guard Divisions began repositioning within Iraq south near the Kuwaiti border.  U.S. forces countered with a movement of forces to the Gulf - the largest since Operation Desert Shield.  The operation as officially terminated on December 22, 1994.  Also see [ 14 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1995,1995,1990s,Bosnia,"Operation Deliberate Force , On August 30, 1995, U.S. and NATO aircraft began a major bombing campaign of Bosnian Serb Army in response to a Bosnian Serb mortar attack on a Sarajevo market that killed 37 people on August 28, 1995. This operation lasted until September 20, 1995. The air campaign along with a combined allied ground force of Muslim and Croatian Army against Serb positions led to a Dayton Agreement in December 1995 with the signing of warring factions of the war. As part of Operation Joint Endeavor , U.S. and NATO dispatched the Implementation Force ( IFOR ) peacekeepers to Bosnia to uphold the Dayton agreement. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1996,1996,1990s,"Central African Republic, Operation Quick Response","On May 23, 1996, President Clinton reported the deployment of U.S. military personnel to Bangui , Central African Republic , to conduct the evacuation from that country of ""private U.S. citizens and certain U.S. government employees"", and to provide ""enhanced security for the American Embassy in Bangui."" [RL30172] United States Marine Corps elements of Joint Task Force Assured Response, responding in nearby Liberia, provided security to the embassy and evacuated 448 people, including between 190 and 208 Americans. The last Marines left Bangui on June 22.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1996,1996,1990s,Kuwait,"Operation Desert Strike , American Air Strikes in the north to protect the Kurdish population against the Iraqi Army attacks.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1996,1996,1990s,Bosnia,"Operation Joint Guard , On December 21, 1996, U.S. and NATO established the SFOR peacekeepers to replace the IFOR in enforcing the peace under the Dayton agreement.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1997,1997,1990s,Albania,"Operation Silver Wake , On March 13, 1997, U.S. military forces were used to evacuate certain U.S. government employees and private U.S. citizens from Tirana , Albania. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1997,1997,1990s,Congo and Gabon,"On March 27, 1997, President Clinton reported on March 25, 1997, a standby evacuation force of U.S. military personnel had been deployed to Congo and Gabon to provide enhanced security and to be available for any necessary evacuation operation. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1997,1997,1990s,Sierra Leone,"On May 29 and 30, 1997, U.S. military personnel were deployed to Freetown , Sierra Leone , to prepare for and undertake the evacuation of certain U.S. government employees and private U.S. citizens. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1997,1997,1990s,Cambodia,"On July 11, 1997, In an effort to ensure the security of American citizens in Cambodia during a period of domestic conflict there, a Task Force of about 550 U.S. military personnel were deployed at Utapao Air Base in Thailand for possible evacuations. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1998,1998,1990s,Iraq,"Operation Desert Fox , U.S. and British forces conduct a major four-day bombing campaign from December 16–19, 1998 on Iraqi targets. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1998,1999,1990s,Kenya and Tanzania,"U.S. military personnel were deployed to Nairobi , Kenya, to coordinate the medical and disaster assistance related to the bombing of the U.S. Embassies in Kenya and Tanzania . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1998,1998,1990s,Afghanistan and Sudan,"Operation Infinite Reach . On August 20, President Clinton ordered a cruise missile attack against two suspected terrorist training camps in Afghanistan and a suspected chemical factory in Sudan. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1998,1998,1990s,Liberia,"On September 27, 1998, America deployed a stand-by response and evacuation force of 30 U.S. military personnel to increase the security force at the U.S. Embassy in Monrovia. [ 15 ] [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1999,2001,1990s,East Timor,Limited number of U.S. military forces deployed with the United Nations-mandated International Force for East Timor restore peace to East Timor. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1999,1999,1990s,Serbia,"Operation Allied Force : U.S. and NATO aircraft began a major bombing of Serbia and Serb positions in Kosovo on March 24, 1999, during the Kosovo War due to the refusal by Serbian President Slobodan Milošević to end repression against ethnic Albanians in Kosovo. This operation ended on June 10, 1999, when Milošević agreed to pull his troops out of Kosovo. In response to the situation in Kosovo, NATO dispatched the KFOR peacekeepers to secure the peace under UNSC Resolution 1244 . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2000,2000,2000s,Sierra Leone,"On May 12, 2000, a U.S. Navy patrol craft deployed to Sierra Leone to support evacuation operations from that country if needed. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2000,2000,2000s,Nigeria,Special Forces troops are sent to Nigeria to lead a training mission in the country. [ 16 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2000,2000,2000s,Yemen,"On October 12, 2000, after USS Cole attack in the port of Aden , Yemen , military personnel were deployed to Aden. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2000,2000,2000s,East Timor,"On February 25, 2000, a small number of U.S. military personnel were deployed to support the United Nations Transitional Administration in East Timor (UNTAET). [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2001,2001,2000s,,"On April 1, 2001, a mid-air collision between a United States Navy EP-3E ARIES II signals surveillance aircraft and a People's Liberation Army Navy (PLAN) J-8II interceptor fighter jet resulted in an international dispute between the United States and the People's Republic of China called the Hainan Island incident .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2001,2021,2000s,War in Afghanistan,"The war on terror begins with Operation Enduring Freedom . On October 7, 2001, U.S. Armed Forces invade Afghanistan in response to the 9/11 attacks and ""begin combat action in Afghanistan against Al Qaeda and their Taliban supporters."" [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2002,2002,2000s,Yemen,"On November 3, 2002, an American MQ-1 Predator fired a Hellfire missile at a car in Yemen killing Qaed Salim Sinan al-Harethi , an al-Qaeda leader thought to be responsible for USS Cole bombing . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2002,2002,2000s,Philippines,"OEF-Philippines , As of January, U.S. ""combat-equipped and combat support forces"" have been deployed to the Philippines to train with, assist and advise the Philippine Armed Forces in enhancing their ""counterterrorist capabilities."" [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2002,2002,2000s,Côte d'Ivoire,"On September 25, 2002, in response to a rebellion in Côte d'Ivoire , U.S. military personnel went into Côte d'Ivoire to assist in the evacuation of American citizens from Bouaké . [ 17 ] [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2003,2011,2000s,War in Iraq,"Operation Iraqi Freedom , March 20, 2003, The United States leads a coalition that includes the United Kingdom, Australia and Poland to invade Iraq with the stated goal being ""to disarm Iraq in pursuit of peace, stability, and security both in the Gulf region and in the United States."" [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2003,2003,2000s,Liberia,"Second Liberian Civil War , On June 9, 2003, President Bush reported that on June 8 he had sent about 35 U.S. Marines into Monrovia , Liberia , to help secure the U.S. Embassy in Nouakchott , Mauritania , and to aid in any necessary evacuation from either Liberia or Mauritania. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2003,2003,2000s,Georgia and Djibouti,"""US combat equipped and support forces"" had been deployed to Georgia and Djibouti to help in enhancing their ""counterterrorist capabilities."" [ 18 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2004,2004,2000s,Haiti,"2004 Haitian coup d'état occurs, The U.S. first sent 55 combat equipped military personnel to augment the U.S. Embassy security forces there and to protect American citizens and property in light. Later 200 additional U.S. combat-equipped, military personnel were sent to prepare the way for a UN Multinational Interim Force, MINUSTAH . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2004,2004,2000s,War on terror,"U.S. anti-terror related activities were underway in Georgia , Djibouti , Kenya , Ethiopia , Yemen , and Eritrea . [ 19 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2005,2006,2000s,Pakistan,President Bush deploys troops from U.S. Army air cavalry brigades to provide humanitarian relief to far remote villages in the Kashmir mountain ranges of Pakistan stricken by a massive earthquake.,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2005,2008,2000s,,"Operation WILLING SPIRIT, Colombia - the rescue of American hostages held hostage by the FARC.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2006,2006,2000s,Lebanon,part of the 24th Marine Expeditionary Unit [ 21 ] begins evacuation of U.S. citizens willing to leave the country in the face of a likely ground invasion by Israel and continued fighting between Hezbollah and the Israeli military. [ 21 ] [ 22 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2007,2007,2000s,,"Dai Hong Dan incident , on October 29, 2007, Somali Pirates boarded and attacked a North Korean merchant vessel . Passing U.S. Navy Ships and a helicopter that were patrolling at the time responded to the attack. Once the ship was freed from the pirates, the American forces were given permission to board and assist the wounded crew and handle surviving pirates. [ citation needed ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2007,2007,2000s,Somalia,"Battle of Ras Kamboni , on January 8, 2007, while the conflict between the Islamic Courts Union and the Transitional Federal Government continues, an AC-130 gunship conducts an aerial strike on a suspected al-Qaeda operative, along with other Islamist fighters, on Badmadow Island near Ras Kamboni in southern Somalia. [ 23 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2010,2011,2010s,,"Operation New Dawn , on February 17, 2010, U.S. Secretary of Defense Robert Gates announced that as of September 1, 2010, the name ""Operation Iraqi Freedom"" would be replaced by ""Operation New Dawn"". This coincides with the reduction of American troops to 50,000.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2011,2011,2010s,2011 military intervention in Libya,"Operation Odyssey Dawn , United States and coalition enforcing U.N. Security Council Resolution 1973 with bombings of Libyan forces.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2011,2011,2010s,,"Osama Bin Laden is killed by U.S. military forces in Abbottabad , Pakistan as part of Operation Neptune Spear .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2011,2011,2010s,,"Drone strikes on al-Shabaab militants begin in Somalia. [ 24 ] This marks the 6th nation in which such strikes have been carried out, [ 25 ] including Afghanistan, Pakistan, Iraq, Yemen [ 26 ] and Libya.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2012,2012,2010s,Jordan,150 U.S. troops deployed to Jordan to help it contain the Syrian civil war within Syria's borders. [ 28 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2012,2012,2010s,Turkey,400 troops and two batteries of Patriot missiles sent to Turkey to prevent any missile strikes from Syria. [ 29 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2012,2012,2010s,Chad,50 U.S. troops have deployed to the African country of Chad to help evacuate U.S. citizens and embassy personnel from the neighboring Central African Republic 's capital of Bangui in the face of rebel advances toward the city .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2013,2013,2010s,Mali,U.S. forces assisted the French in Operation Serval with air refueling and transport aircraft.,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2013,2013,2010s,Somalia,"U.S. Air Force planes supported the French in the Bulo Marer hostage rescue attempt . However, they did not use any weapons. [ 30 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2013,2013,2010s,,2013 Korean crisis,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2013,2013,2010s,,"Navy SEALs conducted a raid in Somalia and possibly killed a senior Al-Shabaab official, simultaneously another raid took place in Tripoli, Libya , where Special Operations Forces captured Abu Anas al Libi (also known as Anas al-Libi) [ 31 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
